# Force coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 0.000000e+00 -1.000000e+00)
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# yawAxis     : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 6.000000e-02
# lRef        : 1.000000e-01
# Aref        : 1.000000e-01
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cs            	Cl            	CmRoll        	CmPitch       	CmYaw         	Cd(f)         	Cd(r)         	Cs(f)         	Cs(r)         	Cl(f)         	Cl(r)         
1             	2.413634e-03	7.059373e-21	6.984027e-04	-1.746007e-05	3.913624e-03	6.034086e-05	1.189357e-03	1.224277e-03	6.034086e-05	-6.034086e-05	4.262826e-03	-3.564423e-03
2             	1.250874e-02	-4.877900e-20	4.407869e-03	-1.101967e-04	1.888294e-02	3.127186e-04	6.144175e-03	6.364569e-03	3.127186e-04	-3.127186e-04	2.108688e-02	-1.667901e-02
3             	1.288577e-02	-9.481999e-20	7.313427e-03	-1.828357e-04	1.445434e-02	3.221442e-04	6.260049e-03	6.625720e-03	3.221442e-04	-3.221442e-04	1.811105e-02	-1.079763e-02
4             	1.088807e-02	-5.774702e-20	8.915577e-03	-2.228894e-04	7.340009e-03	2.722018e-04	5.221147e-03	5.666926e-03	2.722018e-04	-2.722018e-04	1.179780e-02	-2.882221e-03
5             	1.025121e-02	-2.587977e-20	9.559942e-03	-2.389985e-04	4.931004e-03	2.562801e-04	4.886604e-03	5.364601e-03	2.562801e-04	-2.562801e-04	9.710975e-03	-1.510326e-04
6             	1.053427e-02	-1.926187e-20	1.038985e-02	-2.597462e-04	4.036716e-03	2.633568e-04	5.007390e-03	5.526882e-03	2.633568e-04	-2.633568e-04	9.231640e-03	1.158208e-03
7             	1.088657e-02	-2.122166e-20	1.149300e-02	-2.873249e-04	2.696862e-03	2.721642e-04	5.155959e-03	5.730609e-03	2.721642e-04	-2.721642e-04	8.443360e-03	3.049636e-03
8             	1.132828e-02	-2.613183e-20	1.285349e-02	-3.213374e-04	1.025872e-03	2.832069e-04	5.342801e-03	5.985476e-03	2.832069e-04	-2.832069e-04	7.452619e-03	5.400876e-03
9             	1.149198e-02	-3.235924e-20	1.386525e-02	-3.466312e-04	-6.089027e-04	2.872995e-04	5.399359e-03	6.092622e-03	2.872995e-04	-2.872995e-04	6.323722e-03	7.541527e-03
10            	1.150232e-02	-3.403249e-20	1.462208e-02	-3.655520e-04	-2.129226e-03	2.875580e-04	5.385608e-03	6.116712e-03	2.875580e-04	-2.875580e-04	5.181815e-03	9.440266e-03
