,x1,y1,x2,y2,x3,y3,mean Cd 200,mean Cd 400,mean Cd 600
0,15,21,21,19,21,21,0.001942223643274854,0.022387670359000002,0.009170732253
1,19,21,25,19,25,23,0.002893446469,0.018185828999999997,0.0033621834118000003
2,19,23,17,17,21,25,0.013809955855,0.011259527290000002,0.007194201789000001
3,17,25,19,17,23,23,0.014005556761,0.005469053605,0.0034715520630999998
4,17,23,21,19,21,23,0.003902857462,0.013158429402,0.0013523479983122363
5,17,21,17,17,21,25,0.013298356629999999,0.0014753845028708137,0.008005938007
6,17,21,19,15,21,23,0.011407721350999999,0.005497813698,0.005776115767
7,15,21,17,15,25,21,0.006848560812,0.0015297090160194173,0.007346094193
8,15,23,23,17,23,25,0.008556719361999999,0.005808211455,0.021234130687
9,15,23,19,17,21,21,0.007939785861,0.012764209362,0.0075229433
10,19,25,21,15,25,25,0.0200732967,0.01502405296,0.006048751198999999
11,19,23,23,17,21,23,0.007884418563,0.022025283985999997,0.013747968353000002
12,15,25,25,19,23,23,0.005890684121,0.022621420607,0.0024200048268
13,17,23,25,17,25,25,0.008486797949,0.0068768230799999995,0.007554899732
14,17,21,17,19,21,25,0.007822160064,0.020709620848999997,0.0035225999458000003
15,17,21,23,15,23,25,0.015522934944999999,0.021330960728,0.023723225517
16,15,21,19,17,21,25,0.010469116116999999,0.014974420669,0.007831934488
17,15,25,17,15,23,25,0.019682044529999998,0.023493972218,0.02602241848
18,15,21,19,19,23,25,0.005203665991,0.005842922509999999,0.012436785911000002
19,15,21,25,19,25,21,0.002063421564417178,0.015863506802,0.022617183977
20,17,23,17,19,23,21,0.004131335632,0.02394745131,0.016826588387
21,15,23,23,15,23,21,0.011723105206,0.01314428644,0.0012722020701438847
22,17,25,25,17,21,25,0.010837427212,0.008091999079,0.007920843973999999
23,19,25,19,17,21,25,0.014559700985,0.0043818065514000006,0.0040762888845
24,17,21,19,15,23,25,0.017656370246000003,0.005899591876000001,0.008230611613999999
25,17,25,21,17,25,23,0.012547446855,0.0015466964703517582,0.012123503486999998
26,15,21,19,15,25,23,0.008797281955999998,0.020363977368,0.005806024845
27,17,21,19,15,25,25,0.015860926678,0.00644956278,0.0037412397991
28,19,21,23,15,23,25,0.018412008809,0.008362255677,0.014609777793
29,17,23,21,17,21,21,0.008250928503,0.0040658196554,0.005070471777
30,15,25,19,19,21,23,0.007786092382,0.014544271934999999,0.0025098337622
31,19,25,21,17,25,25,0.012527635766999999,0.010017953013,0.005324787840000001
32,19,23,21,15,21,25,0.020358256032,0.00890285021,0.004368018047000001
33,17,21,17,15,21,23,0.011548014088999999,0.007311394272,0.0034991841358000004
34,19,23,15,15,21,23,0.012677875832,0.009769115988,0.006098089088
35,17,21,17,15,21,25,0.020681864601999996,0.020241630325999998,0.023243053948
36,19,23,23,15,23,23,0.013320604201,0.002334680111,0.025067375694999998
37,15,25,21,15,25,25,0.01740594334,0.005150536564,0.010009941042999999
38,15,23,17,17,25,25,0.00918254628,0.006392991442,0.010553922322999999
39,15,23,19,19,23,25,0.005537950121,0.019983422687999998,0.021778800530000003
40,15,21,15,15,25,25,0.014570616331,0.003470608877,0.018059475554
41,17,25,21,17,23,21,0.013526679677000001,0.012285624296,0.008861808844
42,17,21,23,15,25,25,0.014555772357,0.009241587229,0.019203437538
43,17,25,17,19,25,21,0.007471270933,0.0038393187179999997,0.008408732083
44,19,21,25,19,21,25,0.006184706707,0.003004843797,0.014662810792
45,19,25,25,19,21,25,0.006896403638000001,0.01254272977,0.0027518657295
46,15,25,21,17,21,23,0.012948177857,0.014309941332000002,0.0022801499527
47,17,21,15,15,21,21,0.007365414031,0.007322846849999999,0.011547109183999999
48,15,21,21,19,25,25,0.004725929989,0.005245832144,0.012691382273999999
49,19,21,25,17,23,23,0.005619120504,0.007788391073,0.012441838429
50,19,21,19,17,21,21,0.00455559418,0.024041565029,0.008330535537
51,15,21,17,19,21,21,0.002047856716981132,0.0059572100030000005,0.005161429523
