u	angle	cd	cl
41.0	0.0	0.0092472582631	0.00011796001709
41.0	0.5	0.009213875110700001	0.061320287761
41.0	1.0	0.0090576622455	0.073872520538
41.0	1.5	0.0085861439975	0.13771279509
41.0	2.0	0.008885061383799998	0.18224055128
41.0	2.5	0.009887730862100002	0.29200139685
41.0	3.0	0.0091725346643	0.28636437743
41.0	3.5	0.0096817760884	0.35672490927
41.0	4.0	0.0098446969631	0.41901848375
41.0	4.5	0.010163674185	0.45806334366000007
41.0	5.0	0.010357511897	0.51868919279
41.0	5.5	0.010545308464	0.57953947563
41.0	6.0	0.011165856662999999	0.6160462675199999
41.0	6.5	0.011805872589	0.6561622927399999
41.0	7.0	0.01256175922	0.69763971287
41.0	7.5	0.012947261085000002	0.75684223812
41.0	8.0	0.012696887358	0.83354253954
41.0	8.5	0.014998937519	0.84232537713
41.0	9.0	0.015992335004	0.8865692892
41.0	9.5	0.01814648385	0.9115001660400001
41.0	10.0	0.018812955944999998	0.9646374336700001
41.0	10.5	0.020007811126000002	1.0077960314
41.0	11.0	0.023633120905	1.0272046906999999
41.0	11.5	0.026834550742000002	1.0533448572
41.0	12.0	0.036438501311	1.038872563
41.0	12.5	0.036412874349	1.1243330982
41.0	13.0	0.041013961148	1.1269353334
41.0	13.5	0.063536341577	1.1279799458
41.0	14.0	0.07633513699	1.0506124515000002
41.0	14.5	0.13624090236	0.9866829963
41.0	15.0	0.12663380497	0.46367687433999993
41.5	0.0	0.0092042659112	-0.0011951884004
41.5	0.5	0.0092100349018	0.060891441661
41.5	1.0	0.0090432761931	0.087631535847
41.5	1.5	0.0091331828116	0.12594918416
41.5	2.0	0.009205737092600001	0.17409452987
41.5	2.5	0.007560188105999999	0.27410004909
41.5	3.0	0.0092266842902	0.2764263493
41.5	3.5	0.0095349609684	0.35985961950999995
41.5	4.0	0.0097545735491	0.41441844134000005
41.5	4.5	0.0099619206149	0.46405576085
41.5	5.0	0.010183542920999999	0.52139022048
41.5	5.5	0.010492505031	0.5836181971100001
41.5	6.0	0.010927979787	0.6264508427800001
41.5	6.5	0.011520603069	0.6658897482899999
41.5	7.0	0.012109935487	0.7161142471199999
41.5	7.5	0.013097310176999999	0.74906021781
41.5	8.0	0.013754018143	0.8072408885600001
41.5	8.5	0.015246956643000001	0.8345539608499999
41.5	9.0	0.015224089937	0.8952192916299999
41.5	9.5	0.016813017642	0.9288999091600001
41.5	10.0	0.01814221017	0.9706763001500001
41.5	10.5	0.01941256107	1.0142377576000001
41.5	11.0	0.023550305652	1.0326520167
41.5	11.5	0.025765913449	1.0640863686
41.5	12.0	0.032019924308	1.0713676896
41.5	12.5	0.034057283565	1.1233606305
41.5	13.0	0.041795698248	1.1312865085
41.5	13.5	0.26270516994000004	1.0738645086
41.5	14.0	0.067408140433	1.1104312657
41.5	14.5	0.17304410694000003	0.66104504145
41.5	15.0	0.12989962347	0.42761357735
42.0	0.0	0.0091961080975	-0.0033746132400999996
42.0	0.5	0.0091755424027	0.060169165526999996
42.0	1.0	0.0090160844325	0.076064538849
42.0	1.5	0.0090943316489	0.12527313545
42.0	2.0	0.009292766569700002	0.19646529192
42.0	2.5	0.0082889631782	0.22080854246999998
42.0	3.0	0.009704407298100001	0.28876928123
42.0	3.5	0.0095205778626	0.3613474028
42.0	4.0	0.009711780146299998	0.41329006599
42.0	4.5	0.0099427425813	0.46996122639
42.0	5.0	0.010191330405	0.5212277251399999
42.0	5.5	0.010545584432	0.58091022266
42.0	6.0	0.010961609095	0.62292402092
42.0	6.5	0.011492236401	0.66697912155
42.0	7.0	0.01217638162	0.71010447051
42.0	7.5	0.013426220683	0.74016270081
42.0	8.0	0.013810021625999999	0.79993097421
42.0	8.5	0.015318832444	0.8291852891
42.0	9.0	0.015316558681	0.89596783654
42.0	9.5	0.016764720791	0.93112340043
42.0	10.0	0.018595887874	0.9662681461700001
42.0	10.5	0.019532773561	1.0153665116
42.0	11.0	0.022981760437	1.0376481281999999
42.0	11.5	0.025479820263	1.0695234175
42.0	12.0	0.031456515766	1.0754305767
42.0	12.5	0.034972906988	1.1147898182
42.0	13.0	0.047822970237999994	1.1284714622
42.0	13.5	0.074699078581	1.0430886995
42.0	14.0	0.085429514884	0.22707542346
42.0	14.5	0.58213451766	2.5531073444
42.0	15.0	0.088108509275	0.20741779866
42.5	0.0	0.0091421345495	-0.0011516470215
42.5	0.5	0.0091356888154	0.060387572333
42.5	1.0	0.009019881341399999	0.080160823953
42.5	1.5	0.0091332608699	0.127167045
42.5	2.0	0.0092995888897	0.19272850412
42.5	2.5	0.007256671102399999	0.27196660307
42.5	3.0	0.0096495339989	0.288402753
42.5	3.5	0.0095196173917	0.36263791538
42.5	4.0	0.0097221625654	0.41367385703000004
42.5	4.5	0.009920010594799999	0.47493698048999994
42.5	5.0	0.010213513091	0.51603674593
42.5	5.5	0.010476935477999999	0.58139584303
42.5	6.0	0.010959076496	0.6216275222
42.5	6.5	0.011537547334	0.6640271332
42.5	7.0	0.012234322527000002	0.7136040562
42.5	7.5	0.013220720348	0.74755084012
42.5	8.0	0.013712779003000001	0.79773447479
42.5	8.5	0.015636227455	0.8228755309199999
42.5	9.0	0.015158515525	0.8987126598
42.5	9.5	0.018324775044	0.91075695389
42.5	10.0	0.019356436911	0.95448591091
42.5	10.5	0.019484153263	1.0142721111
42.5	11.0	0.022705810144000003	1.0478514363
42.5	11.5	0.025784660603999997	1.0644183087
42.5	12.0	0.032396482964	1.0719528555
42.5	12.5	0.036419017256	1.1061089164
42.5	13.0	0.05152714393	1.0663079125
42.5	13.5	0.052862621019	1.1178416231000001
42.5	14.0	0.069260722042	1.1580411317000001
42.5	14.5	0.14294493398	1.0119787731
42.5	15.0	0.70450310564	2.9273804312
43.0	0.0	0.009175308202899999	-0.0041769899837
43.0	0.5	0.0090551577396	0.064346977417
43.0	1.0	0.008886921117	0.10095637946000001
43.0	1.5	0.0090994224379	0.12610542787
43.0	2.0	0.009115551678000001	0.1755477439
43.0	2.5	0.0077180013963	0.24199543269999998
43.0	3.0	0.0096703733606	0.28764290183
43.0	3.5	0.009523243063	0.36076142494999996
43.0	4.0	0.0096764778741	0.41505159154
43.0	4.5	0.0099512298164	0.47102906003
43.0	5.0	0.010142423361	0.52109112739
43.0	5.5	0.01052796733	0.57608494441
43.0	6.0	0.010908494559	0.6222375271
43.0	6.5	0.011762964127	0.6657575080100001
43.0	7.0	0.012091789750000002	0.71520694669
43.0	7.5	0.013525397560000001	0.74242352177
43.0	8.0	0.013973798271000001	0.79100554219
43.0	8.5	0.015462957424000001	0.8248802723299999
43.0	9.0	0.015240901388000001	0.89958307811
43.0	9.5	0.017339885688	0.9193733878
43.0	10.0	0.01803258643	0.9742279392700001
43.0	10.5	0.019397994664	1.0149067912
43.0	11.0	0.022369839215000003	1.0473513965999999
43.0	11.5	0.025829935567	1.0644190336
43.0	12.0	0.030429843923	1.0867965866
43.0	12.5	-0.21869073556999996	0.72260976002
43.0	13.0	0.049166409194	1.0988959431
43.0	13.5	0.05436199112099999	1.1494380926999999
43.0	14.0	0.09577635933800001	1.080868092
43.0	14.5	0.068897608979	0.13920630687000002
43.0	15.0	0.15230696816	0.6637210836
43.5	0.0	0.009363814802399999	-0.015676698908
43.5	0.5	0.009083789337700002	0.063239905653
43.5	1.0	0.0089652104236	0.09916599724099999
43.5	1.5	0.0089808780301	0.12523083298
43.5	2.0	0.0091201796891	0.17457542282000002
43.5	2.5	0.0078755035684	0.25308767224
43.5	3.0	0.0096598366274	0.29014864583
43.5	3.5	0.0094921976801	0.3604321998800001
43.5	4.0	0.009663617324	0.41646682340999996
43.5	4.5	0.009951861109	0.46877645592
43.5	5.0	0.010229505541	0.51926634219
43.5	5.5	0.010507618539	0.5749608820300001
43.5	6.0	0.010876517338	0.6209989117
43.5	6.5	0.011772569616000001	0.66325150495
43.5	7.0	0.012151525665	0.71130570011
43.5	7.5	0.013765803803000002	0.73976511436
43.5	8.0	0.01387419361	0.79370828009
43.5	8.5	0.015658216303999998	0.8210633233300001
43.5	9.0	0.015215957377	0.8961001335
43.5	9.5	0.016836843899	0.9279865536700002
43.5	10.0	0.017562408518000002	0.9809833753299999
43.5	10.5	0.019236933762	1.0174858248
43.5	11.0	0.021791532867000002	1.0494304922
43.5	11.5	0.026140750264	1.0616193736
43.5	12.0	0.032596430001	1.0671651265
43.5	12.5	0.031929958607	1.1338955757
43.5	13.0	0.068118641275	0.96783497991
43.5	13.5	0.11028926702	0.6327622017600001
43.5	14.0	-7.4880289547e+25	-1.3555820163e+26
43.5	14.5	0.15817465903	0.9538807872700001
43.5	15.0	0.25775973039	0.8042124934199999
44.0	0.0	0.0091031660884	9.088766437200001e-05
44.0	0.5	0.0091813349049	0.056867053455
44.0	1.0	0.0087854911432	0.09726285167099999
44.0	1.5	0.0085387013158	0.11399041613
44.0	2.0	0.00916435795	0.17901556627
44.0	2.5	0.0083474431763	0.22409271741
44.0	3.0	0.0095872788468	0.30116412055999997
44.0	3.5	0.0095057702352	0.3567533479
44.0	4.0	0.009722783015	0.42304366645
44.0	4.5	0.0098927501204	0.47274898321000003
44.0	5.0	0.010206158502	0.52290889015
44.0	5.5	0.010546185969	0.57077992422
44.0	6.0	0.011120489517	0.60776056408
44.0	6.5	0.011319853595	0.68338734683
44.0	7.0	0.012016637508	0.7311726443800001
44.0	7.5	0.012604871603	0.76294491126
44.0	8.0	0.013993551764	0.7918054330300001
44.0	8.5	0.014337799427	0.84902919497
44.0	9.0	0.014912241368	0.9028479870999999
44.0	9.5	0.016661805438999998	0.9304141621600001
44.0	10.0	0.017681447252	0.97872756201
44.0	10.5	0.021446320331	0.9936528549299999
44.0	11.0	0.022299844224000002	1.0411335594
44.0	11.5	0.023518225153000002	1.0871626141
44.0	12.0	0.028521204534	1.1026684446
44.0	12.5	0.033166293589	1.1313993419
44.0	13.0	0.044796522773	1.1047191156
44.0	13.5	0.030372221220999997	-0.042933803694
44.0	14.0	0.09384005606899999	1.0371930637
44.0	14.5	0.17573299067	1.0545062307
44.0	15.0	0.052003742253	0.07876341315
44.5	0.0	0.0091066054982	2.4193296656999998e-05
44.5	0.5	0.0090315415636	0.06502145969499999
44.5	1.0	0.0086843964106	0.099148905222
44.5	1.5	0.009063734719	0.13404819699
44.5	2.0	0.0092594879826	0.18713517281
44.5	2.5	0.0088092079976	0.2184624164
44.5	3.0	0.0093331938245	0.29752339164999997
44.5	3.5	0.009456582005700001	0.36116833944
44.5	4.0	0.0096728460137	0.42419379253
44.5	4.5	0.0099174198274	0.47110122421000006
44.5	5.0	0.010173863515	0.5246302177300001
44.5	5.5	0.010357939449999999	0.58568139299
44.5	6.0	0.011058457523	0.6115085156100001
44.5	6.5	0.011026569513999999	0.69523450917
44.5	7.0	0.011986361332	0.7307978958
44.5	7.5	0.012668116762000001	0.76002698881
44.5	8.0	0.013838799309	0.79438670771
44.5	8.5	0.013935391661	0.8554679603
44.5	9.0	0.015719202336	0.8987263750900001
44.5	9.5	0.01593022513	0.9458524540600001
44.5	10.0	1.2230987877000004e+184	4.174697002100001e+184
44.5	10.5	0.020710082842000002	1.0002811338
44.5	11.0	0.022943529849999998	1.0330820979000002
44.5	11.5	0.022681166365	1.0983126297
44.5	12.0	0.027920649734	1.1116047734999999
44.5	12.5	0.034916048101	1.1100683059
44.5	13.0	0.039859740362999996	1.140417437
